ds,y,yhat,yhat_lower,yhat_upper,Forecast_Anomaly
2020-01-28,28722.85,27663.214388315773,26595.933011821726,28783.415012171616,0
2020-01-29,28734.45,27650.04051572629,26480.804499079095,28642.809532883894,1
2020-01-30,28859.44,27641.587198691584,26557.454278675716,28834.078188382122,1
2020-01-31,28256.03,27659.149153105274,26531.517305152756,28748.584244400907,0
2020-02-03,28399.81,27682.883340091816,26618.126398527118,28763.957096887065,0
2020-02-04,28807.63,27674.63722640668,26633.31704043776,28741.07314887869,1
2020-02-05,29290.85,27639.592019896434,26537.141032403324,28753.81500319513,1
2020-02-06,29379.77,27605.511536220794,26463.915768828898,28647.619714206252,1
2020-02-07,29102.51,27593.129270651956,26554.0812113532,28686.26525149956,1
2020-02-10,29276.82,27496.87193507447,26394.777735728523,28561.28211293269,1
2020-02-11,29276.34,27476.44083801542,26317.456752929273,28557.040520883802,1
2020-02-12,29551.42,27423.580599204935,26379.9112226509,28582.865519358224,1
2020-02-13,29423.31,27366.14216987371,26302.55925454726,28444.65331196369,1
2020-02-14,29398.08,27325.067418690058,26252.702032806483,28423.802936376513,1
2020-02-18,29232.19,27048.403017998728,25872.38470246168,28126.94682716145,1
2020-02-19,29348.03,26947.15440590373,25815.76982646586,28083.6724388867,1
2020-02-20,29219.98,26839.41491440778,25678.415026001814,27930.55619922862,1
2020-02-21,28992.41,26746.949270655565,25732.559463009344,27781.51333581079,1
2020-02-24,27960.8,26384.2932462594,25245.29957566887,27447.63077141263,1
2020-02-25,27081.36,26270.99628373961,25231.241892089132,27379.62415770777,0
2020-02-26,26957.59,26125.7220156908,25026.854995153488,27249.226099347638,0
2020-02-27,25766.64,25977.845815029534,24820.068566438076,27073.34271959501,0
2020-02-28,25409.36,25849.813905188337,24725.728795987838,26988.025363171535,0
2020-03-02,26703.32,25413.42696861282,24268.67008430196,26466.694540568187,1
2020-03-03,25917.41,25287.903646184113,24126.880375104145,26398.746197327753,0
2020-03-04,27090.86,25136.99401841195,24069.479935904365,26316.854084311308,1
2020-03-05,26121.28,24990.157638911714,23841.296603172144,26137.296561576542,0
2020-03-06,25864.78,24869.81498678932,23829.393693083428,25963.388650165823,0
2020-03-09,23851.02,24494.567669214925,23452.92286476509,25703.63609399534,0
2020-03-10,25018.16,24401.029770240657,23240.027169375277,25549.724997358015,0
2020-03-11,23553.22,24287.158086245698,23215.1830744616,25358.97709947644,0
2020-03-12,21200.62,24181.859539245954,23040.244672041037,25281.27256889483,1
2020-03-13,23185.62,24106.950206011606,22976.15261062355,25227.386182431055,0
2020-03-16,20188.52,23884.8193701004,22785.070205987886,25028.821010099335,1
2020-03-17,21237.38,23845.6572827464,22805.15857163458,24934.64221184351,1
2020-03-18,19898.92,23786.696060971364,22690.12962271563,24804.101760053407,1
2020-03-19,20087.19,23736.185660633633,22665.461571151674,24895.757865812084,1
2020-03-20,19173.98,23715.31423064811,22649.25141584879,24738.931129741522,1
2020-03-23,18591.93,23645.109608394814,22527.07973416684,24768.808684231502,1
2020-03-24,20704.91,23651.535511430928,22530.238254167918,24766.242225286955,1
2020-03-25,21200.55,23634.93759851999,22546.260596636886,24704.920795721762,1
2020-03-26,22552.17,23623.229965370832,22471.67817093489,24677.286824220486,0
2020-03-27,21636.78,23637.320188595502,22544.49495122962,24715.53780632691,1
2020-03-30,22327.48,23646.941532684414,22631.2224272993,24760.52422756078,1
2020-03-31,21917.16,23671.19722123532,22615.009485634488,24762.278148880647,1
2020-04-01,20943.51,23756.359267142256,22696.538569527907,24902.173806291434,1
2020-04-02,21413.44,23841.915222117386,22692.48510781947,24898.4509294149,1
2020-04-03,21052.53,23948.801473768737,22845.322594234785,25077.732315456862,1
2020-04-06,22679.99,24210.709575668723,23127.650899132095,25324.843067488975,1
2020-04-07,22653.86,24310.7123254974,23280.706845179637,25374.59464528709,1
2020-04-08,23433.57,24379.251205902197,23335.93436255081,25478.166731980757,0
2020-04-09,23719.37,24444.399549847414,23376.74348914032,25552.071557752388,0
2020-04-13,23390.77,24697.6036764826,23590.978211203004,25756.73295628514,1
2020-04-14,23949.76,24761.355049436654,23629.75081806278,25892.771358010148,0
2020-04-15,23504.35,24791.228492160673,23681.18453377007,25925.788977472712,1
2020-04-16,23537.68,24815.601716768706,23752.03634969272,25971.319115816794,1
2020-04-17,24242.49,24855.921574997457,23733.703246294102,26051.360486253176,0
2020-04-20,23650.44,24891.59777329363,23801.43415581452,26024.91928971111,1
2020-04-21,23018.88,24909.4957314891,23780.64420334411,26057.906441705978,1
2020-04-22,23475.82,24893.771430681,23702.66675614302,26024.624225217744,1
2020-04-23,23515.26,24873.277222796347,23778.178734392193,25958.064992901996,1
2020-04-24,23775.27,24869.949304966314,23814.7508052414,25935.861802105883,1
2020-04-27,24133.78,24786.992953914938,23671.30149120128,25949.370992751068,0
2020-04-28,24101.55,24771.098397001482,23614.153009056838,25796.713531294095,0
2020-04-29,24633.86,24725.244918043685,23590.193747297373,25718.237713427112,0
2020-04-30,24345.72,24678.716720742683,23559.792392953554,25839.692953815167,0
2020-05-01,23723.69,24653.84164514978,23532.60693736718,25670.617349754175,0
2020-05-04,23749.76,24536.28308944095,23520.179015359256,25649.723430724865,0
2020-05-05,23883.09,24519.5802297173,23494.716782879404,25592.469334170062,0
2020-05-06,23664.64,24478.44771636281,23427.33260647078,25529.334157500827,0
2020-05-07,23875.89,24442.142866823,23326.328637869876,25548.905992179018,0
2020-05-08,24331.32,24432.87636163288,23341.167005430398,25492.152812103843,0
2020-05-11,24221.99,24391.90353445947,23317.403870510836,25455.56723533756,0
2020-05-12,23764.78,24409.348680147206,23225.782041439536,25556.338971459194,0
2020-05-13,23247.97,24405.8129503165,23306.55298143865,25514.9920183849,1
2020-05-14,23625.34,24409.92507476503,23357.1411904543,25438.44909387224,0
2020-05-15,23685.42,24443.205674175726,23388.085576745976,25553.847884113547,0
2020-05-18,24597.37,24535.090215316475,23413.396920861433,25678.990260810497,0
2020-05-19,24206.86,24595.915455887003,23600.750609444767,25638.362592443213,0
2020-05-20,24575.9,24633.977200024063,23533.394600393178,25768.053735088466,0
2020-05-21,24474.12,24677.135559607883,23598.66719540986,25757.812856265475,0
2020-05-22,24465.16,24746.18468942964,23584.03950652859,25794.292044636084,0
2020-05-26,24995.11,24996.983200608232,23935.307557630036,26043.666053845503,0
2020-05-27,25548.27,25046.034547398744,23968.2772894334,26175.791147386306,0
2020-05-28,25400.64,25094.221196820912,24039.493527038827,26224.924911233535,0
2020-05-29,25383.11,25162.26728799644,24041.91030679967,26276.49880238808,0
2020-06-01,25475.02,25297.421009045527,24227.344545242904,26373.005381700405,0
2020-06-02,25742.65,25351.615907033258,24273.25570063783,26519.33421866926,0
2020-06-03,26269.89,25372.693290361094,24282.122247797524,26449.866032084672,0
2020-06-04,26281.82,25388.93393599391,24346.62324751338,26522.514081674588,0
2020-06-05,27110.98,25421.75546852807,24291.041833768963,26539.144095181582,1
2020-06-08,27572.44,25439.416773758363,24356.29656308007,26490.684233123964,1
2020-06-09,27272.3,25453.31152953871,24331.61123668911,26493.643505850854,1
2020-06-10,26989.99,25434.95159653324,24392.578275710635,26591.12033633017,1
2020-06-11,25128.17,25413.454397054968,24328.08423148308,26490.956853010906,0
2020-06-12,25605.54,25411.03391878237,24305.78175377704,26490.750673916733,0
2020-06-15,25763.16,25344.950476500755,24265.072842682992,26419.297206782496,0
2020-06-16,26289.98,25340.17058337124,24193.452760163927,26371.17175112218,0
2020-06-17,26119.61,25308.45938411736,24264.578742016638,26444.592118202516,0
2020-06-18,26080.1,25279.185559877355,24211.95591629186,26340.0335476427,0
2020-06-19,25871.46,25274.693034705968,24130.41190684984,26334.37072357894,0
2020-06-22,26024.96,25236.086112339704,24156.41869770324,26341.862465513423,0
2020-06-23,26156.1,25250.92790518144,24113.156449172344,26302.58725213165,0
2020-06-24,25445.94,25243.414327205064,24121.626825257124,26361.69300981506,0
2020-06-25,25745.6,25242.378850987698,24153.145192713022,26322.749015013636,0
2020-06-26,25015.55,25269.55354935976,24197.188910497658,26213.99247697908,0
2020-06-29,25595.8,25339.579453723883,24303.775014517367,26408.83422346659,0
2020-06-30,25812.88,25392.7053950053,24268.229372523616,26519.66684352856,0
2020-07-01,25734.97,25423.260232726992,24346.33522398596,26488.004712158003,0
2020-07-02,25827.36,25459.352208689455,24315.304395176092,26534.018123256417,0
2020-07-06,26287.03,25682.86851926572,24595.012608378926,26737.76936795551,0
2020-07-07,25890.18,25759.443342424816,24615.960990407544,26883.37001393493,0
2020-07-08,26067.28,25809.46545358845,24785.56612142226,26899.802785837986,0
2020-07-09,25706.09,25860.848747418368,24745.53580114529,26893.79404272545,0
2020-07-10,26075.3,25934.548476895663,24785.807438642383,26921.6846603886,0
2020-07-13,26085.8,26103.42764949127,24948.79150827138,27156.700170353066,0
2020-07-14,26642.59,26174.99708248499,25007.300575442758,27251.29664852302,0
2020-07-15,26870.1,26216.705953615037,25044.101601026516,27306.11835857652,0
2020-07-16,26734.71,26256.89074707366,25232.919153384384,27339.871288199607,0
2020-07-17,26671.95,26316.9799482592,25304.69288038065,27507.957835295412,0
2020-07-20,26680.87,26435.756295749376,25340.190829380135,27506.9312950693,0
2020-07-21,26840.4,26489.323842678314,25348.504126615724,27593.57400252865,0
2020-07-22,27005.84,26513.25341429026,25425.5076711217,27630.083212676138,0
2020-07-23,26652.33,26536.364247029225,25431.85478311451,27626.091573739177,0
2020-07-24,26469.89,26580.52339830022,25361.404892687708,27556.83942099027,0
2020-07-27,26584.77,26661.895982246777,25586.55526265888,27779.051129213953,0
2020-07-28,26379.28,26700.863637033173,25635.41043055321,27787.783822086403,0
2020-07-29,26539.57,26712.577191427335,25581.88059009863,27877.38246032435,0
2020-07-30,26313.65,26725.88247336226,25664.20965187352,27792.2810313723,0
2020-07-31,26428.32,26762.598691260067,25639.684685697724,27847.066143948367,0
2020-08-03,26664.4,26834.314320377413,25699.49729042557,27949.72853821461,0
2020-08-04,26828.47,26879.92107894904,25815.012568778588,28052.159888666323,0
2020-08-05,27201.52,26899.470470488075,25780.905003214102,27951.404110446343,0
2020-08-06,27386.98,26921.447958181452,25840.177326098907,28005.409586284943,0
2020-08-07,27433.48,26967.29386904611,25811.43147628418,28049.80801158646,0
2020-08-10,27791.44,27065.308572521004,25872.92099957981,28236.501828392156,0
2020-08-11,27686.91,27118.099087742958,25904.21183244605,28114.636181360023,0
2020-08-12,27976.84,27143.494934666975,26067.530789875975,28215.61156321223,0
2020-08-13,27896.72,27169.709865899447,26109.921049459525,28261.52421026126,0
2020-08-14,27931.02,27217.959229424006,26156.844134281684,28348.506102562085,0
2020-08-17,27844.91,27310.721831464212,26194.606030735875,28410.97190378481,0
2020-08-18,27778.07,27357.400248675578,26273.66541792858,28437.26457670703,0
2020-08-19,27692.88,27374.53922273205,26330.426631857754,28479.31037791891,0
2020-08-20,27739.73,27390.453523533775,26285.509574599677,28432.913573265178,0
2020-08-21,27930.33,27426.507025450337,26325.237944766588,28559.36180703807,0
2020-08-24,28308.46,27473.386208700813,26363.888685404672,28537.710769890913,0
2020-08-25,28248.44,27502.511594189775,26472.559373132055,28615.530402432603,0
2020-08-26,28331.92,27501.435603908663,26394.968362687367,28683.23492777819,0
